lookup,comp,plan,sex,state,units,age,inprem,reprem,area,effdate,areach,agetype,comm,tobacco,emptype
57751118EEN,005,5775,0,11,000000000,018,0000243,0000243,000,10012019,N,I,N,N,EE
57751119EEN,005,5775,0,11,000000000,019,0000243,0000243,000,10012019,N,I,N,N,EE
57751120EEN,005,5775,0,11,000000000,020,0000243,0000243,000,10012019,N,I,N,N,EE
57751121EEN,005,5775,0,11,000000000,021,0000243,0000243,000,10012019,N,I,N,N,EE
57751122EEN,005,5775,0,11,000000000,022,0000243,0000243,000,10012019,N,I,N,N,EE
57751123EEN,005,5775,0,11,000000000,023,0000243,0000243,000,10012019,N,I,N,N,EE
57751124EEN,005,5775,0,11,000000000,024,0000243,0000243,000,10012019,N,I,N,N,EE
57751125EEN,005,5775,0,11,000000000,025,0000243,0000243,000,10012019,N,I,N,N,EE
57751126EEN,005,5775,0,11,000000000,026,0000243,0000243,000,10012019,N,I,N,N,EE
57751127EEN,005,5775,0,11,000000000,027,0000243,0000243,000,10012019,N,I,N,N,EE
57751128EEN,005,5775,0,11,000000000,028,0000243,0000243,000,10012019,N,I,N,N,EE
57751129EEN,005,5775,0,11,000000000,029,0000243,0000243,000,10012019,N,I,N,N,EE
57751130EEN,005,5775,0,11,000000000,030,0000443,0000443,000,10012019,N,I,N,N,EE
57751131EEN,005,5775,0,11,000000000,031,0000443,0000443,000,10012019,N,I,N,N,EE
57751132EEN,005,5775,0,11,000000000,032,0000443,0000443,000,10012019,N,I,N,N,EE
57751133EEN,005,5775,0,11,000000000,033,0000443,0000443,000,10012019,N,I,N,N,EE
57751134EEN,005,5775,0,11,000000000,034,0000443,0000443,000,10012019,N,I,N,N,EE
57751135EEN,005,5775,0,11,000000000,035,0000625,0000625,000,10012019,N,I,N,N,EE
57751136EEN,005,5775,0,11,000000000,036,0000625,0000625,000,10012019,N,I,N,N,EE
57751137EEN,005,5775,0,11,000000000,037,0000625,0000625,000,10012019,N,I,N,N,EE
57751138EEN,005,5775,0,11,000000000,038,0000625,0000625,000,10012019,N,I,N,N,EE
57751139EEN,005,5775,0,11,000000000,039,0000625,0000625,000,10012019,N,I,N,N,EE
57751140EEN,005,5775,0,11,000000000,040,0000858,0000858,000,10012019,N,I,N,N,EE
57751141EEN,005,5775,0,11,000000000,041,0000858,0000858,000,10012019,N,I,N,N,EE
57751142EEN,005,5775,0,11,000000000,042,0000858,0000858,000,10012019,N,I,N,N,EE
57751143EEN,005,5775,0,11,000000000,043,0000858,0000858,000,10012019,N,I,N,N,EE
57751144EEN,005,5775,0,11,000000000,044,0000858,0000858,000,10012019,N,I,N,N,EE
57751145EEN,005,5775,0,11,000000000,045,0001198,0001198,000,10012019,N,I,N,N,EE
57751146EEN,005,5775,0,11,000000000,046,0001198,0001198,000,10012019,N,I,N,N,EE
57751147EEN,005,5775,0,11,000000000,047,0001198,0001198,000,10012019,N,I,N,N,EE
57751148EEN,005,5775,0,11,000000000,048,0001198,0001198,000,10012019,N,I,N,N,EE
57751149EEN,005,5775,0,11,000000000,049,0001198,0001198,000,10012019,N,I,N,N,EE
57751150EEN,005,5775,0,11,000000000,050,0001584,0001584,000,10012019,N,I,N,N,EE
57751151EEN,005,5775,0,11,000000000,051,0001584,0001584,000,10012019,N,I,N,N,EE
57751152EEN,005,5775,0,11,000000000,052,0001584,0001584,000,10012019,N,I,N,N,EE
57751153EEN,005,5775,0,11,000000000,053,0001584,0001584,000,10012019,N,I,N,N,EE
57751154EEN,005,5775,0,11,000000000,054,0001584,0001584,000,10012019,N,I,N,N,EE
57751155EEN,005,5775,0,11,000000000,055,0002015,0002015,000,10012019,N,I,N,N,EE
57751156EEN,005,5775,0,11,000000000,056,0002015,0002015,000,10012019,N,I,N,N,EE
57751157EEN,005,5775,0,11,000000000,057,0002015,0002015,000,10012019,N,I,N,N,EE
57751158EEN,005,5775,0,11,000000000,058,0002015,0002015,000,10012019,N,I,N,N,EE
57751159EEN,005,5775,0,11,000000000,059,0002015,0002015,000,10012019,N,I,N,N,EE
57751160EEN,005,5775,0,11,000000000,060,0002535,0002535,000,10012019,N,I,N,N,EE
