lookup,comp,plan,sex,state,units,age,inprem,reprem,area,effdate,areach,agetype,comm,tobacco,class,ratetype,emptype
57754418EEN,005,5775,0,44,000000000,018,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754419EEN,005,5775,0,44,000000000,019,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754420EEN,005,5775,0,44,000000000,020,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754421EEN,005,5775,0,44,000000000,021,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754422EEN,005,5775,0,44,000000000,022,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754423EEN,005,5775,0,44,000000000,023,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754424EEN,005,5775,0,44,000000000,024,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754425EEN,005,5775,0,44,000000000,025,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754426EEN,005,5775,0,44,000000000,026,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754427EEN,005,5775,0,44,000000000,027,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754428EEN,005,5775,0,44,000000000,028,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754429EEN,005,5775,0,44,000000000,029,0000243,0000243,000,10142019,N,I,N,N,,,EE
57754430EEN,005,5775,0,44,000000000,030,0000443,0000443,000,10142019,N,I,N,N,,,EE
57754431EEN,005,5775,0,44,000000000,031,0000443,0000443,000,10142019,N,I,N,N,,,EE
57754432EEN,005,5775,0,44,000000000,032,0000443,0000443,000,10142019,N,I,N,N,,,EE
57754433EEN,005,5775,0,44,000000000,033,0000443,0000443,000,10142019,N,I,N,N,,,EE
57754434EEN,005,5775,0,44,000000000,034,0000443,0000443,000,10142019,N,I,N,N,,,EE
57754435EEN,005,5775,0,44,000000000,035,0000625,0000625,000,10142019,N,I,N,N,,,EE
57754436EEN,005,5775,0,44,000000000,036,0000625,0000625,000,10142019,N,I,N,N,,,EE
57754437EEN,005,5775,0,44,000000000,037,0000625,0000625,000,10142019,N,I,N,N,,,EE
57754438EEN,005,5775,0,44,000000000,038,0000625,0000625,000,10142019,N,I,N,N,,,EE
57754439EEN,005,5775,0,44,000000000,039,0000625,0000625,000,10142019,N,I,N,N,,,EE
57754440EEN,005,5775,0,44,000000000,040,0000858,0000858,000,10142019,N,I,N,N,,,EE
57754441EEN,005,5775,0,44,000000000,041,0000858,0000858,000,10142019,N,I,N,N,,,EE
57754442EEN,005,5775,0,44,000000000,042,0000858,0000858,000,10142019,N,I,N,N,,,EE
